Li	0.0000	29.0000	0.0000	0.0000
Be	0.0000	13.0000	0.0000	0.0000
B	0.0600	19.7000	0.0000	0.0000
C	4.3000	43.9000	0.0000	0.0000
N	20.2000	59.2000	0.0000	0.0000
O	29.4000	62.0000	0.0000	0.0000
F	46.1000	69.0000	4.0000	1.0000
Ne	58.1000	72.9000	20.0000	9.0000
Na	65.4000	75.1000	40.0000	27.0000
Mg	70.6000	77.3000	59.0000	47.0000
Al	75.4000	80.3000	73.0000	64.0000
Si	64.7000	81.8000	82.0000	75.0000

